season,name,position,round,total_points,points_last3,points_last5,minutes_last3,minutes_last5,bps_last5,ict_last5,starts_last3,xg_last5,xa_last5,xgi_last5,transfers_last3,season_points_avg,season_minutes_avg,was_home,value,round,pos_DEF,pos_FWD,pos_GK,pos_MID
2022-23,Aaron Ramsdale,GK,23,2,5.0,4.6,90.0,90.0,19.0,2.2199999999999998,1.0,0.0,0.000766,0.000766,-2133.3333333333335,4.2,90.0,1,49,23,0,0,1,0
2022-23,Aaron Ramsdale,GK,23,1,2.0,4.6,90.0,90.0,18.0,1.9,1.0,0.0,0.00066,0.00066,15026.0,4.095238095238095,90.0,1,49,23,0,0,1,0
2022-23,Aaron Ramsdale,GK,24,2,2.0,3.6,90.0,90.0,16.6,2.1599999999999997,1.0,0.0,0.00033,0.00033,7563.666666666667,3.9545454545454546,90.0,0,49,24,0,0,1,0
2022-23,Aaron Ramsdale,GK,25,6,1.6666666666666667,1.8,90.0,90.0,12.2,1.5399999999999998,1.0,0.0,0.00024199999999999997,0.00024199999999999997,8161.333333333333,3.869565217391304,90.0,0,49,25,0,0,1,0
2022-23,Aaron Ramsdale,GK,25,7,3.0,2.8,90.0,90.0,14.6,1.4,1.0,0.0,0.0,0.0,10589.666666666666,3.9583333333333335,90.0,1,49,25,0,0,1,0
2022-23,Aaron Ramsdale,GK,26,1,5.0,3.6,90.0,90.0,17.8,1.8599999999999999,1.0,0.0,0.0,0.0,13018.0,4.08,90.0,1,49,26,0,0,1,0
2022-23,Aaron Ramsdale,GK,27,6,4.666666666666667,3.4,90.0,90.0,18.2,2.08,1.0,0.0,0.0,0.0,13559.666666666666,3.9615384615384617,90.0,0,49,27,0,0,1,0
2022-23,Aaron Ramsdale,GK,28,3,4.666666666666667,4.4,90.0,90.0,20.0,1.98,1.0,0.0,0.0,0.0,-5280.0,4.037037037037037,90.0,1,49,28,0,0,1,0
2022-23,Aaron Ramsdale,GK,29,3,3.3333333333333335,4.6,90.0,90.0,19.8,2.0799999999999996,1.0,0.0,0.0,0.0,-17187.0,4.0,90.0,1,49,29,0,0,1,0
2022-23,Aaron Ramsdale,GK,30,1,4.0,4.0,90.0,90.0,18.8,2.7,1.0,0.0,0.0,0.0,-21194.0,3.9655172413793105,90.0,0,49,30,0,0,1,0
2022-23,Aaron Ramsdale,GK,31,1,2.3333333333333335,2.8,90.0,90.0,15.2,2.58,1.0,0.0,0.0,0.0,-17833.666666666668,3.8666666666666667,90.0,0,49,31,0,0,1,0
2022-23,Aaron Ramsdale,GK,32,2,1.6666666666666667,2.8,90.0,90.0,15.4,2.5,1.0,0.0,0.0,0.0,-14739.0,3.774193548387097,90.0,1,49,32,0,0,1,0
2022-23,Aaron Ramsdale,GK,33,1,1.3333333333333333,2.0,90.0,90.0,12.8,2.5599999999999996,1.0,0.0,0.0,0.0,-7290.333333333333,3.71875,90.0,0,49,33,0,0,1,0
2022-23,Aaron Ramsdale,GK,34,3,1.3333333333333333,1.6,90.0,90.0,13.8,2.9,1.0,0.0,0.0,0.0,-14631.333333333334,3.6363636363636362,90.0,1,48,34,0,0,1,0
2022-23,Aaron Ramsdale,GK,35,10,2.0,1.6,90.0,90.0,13.8,2.74,1.0,0.0,0.0,0.0,-25543.666666666668,3.6176470588235294,90.0,0,48,35,0,0,1,0
2022-23,Aaron Ramsdale,GK,36,2,4.666666666666667,3.4,90.0,90.0,17.8,2.7600000000000002,1.0,0.0,0.0,0.0,-32427.333333333332,3.8,90.0,1,48,36,0,0,1,0
2022-23,Aaron Ramsdale,GK,37,2,5.0,3.6,90.0,90.0,18.0,2.88,1.0,0.0,0.0,0.0,-13773.0,3.75,90.0,0,48,37,0,0,1,0
2022-23,Aaron Ramsdale,GK,38,6,4.666666666666667,3.6,90.0,90.0,18.0,2.7600000000000002,1.0,0.0,0.0,0.0,-939.0,3.7027027027027026,90.0,1,48,38,0,0,1,0
2022-23,Aaron Wan-Bissaka,DEF,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2746.0,0.0,0.0,1,44,3,1,0,0,0
2022-23,Aaron Wan-Bissaka,DEF,17,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124.66666666666667,0.07142857142857142,0.2857142857142857,1,43,17,1,0,0,0
2022-23,Aaron Wan-Bissaka,DEF,18,9,2.0,1.2,30.0,18.0,5.0,1.08,0.3333333333333333,0.0,0.02292,0.02292,4031.6666666666665,0.4666666666666667,6.266666666666667,0,43,18,1,0,0,0
2022-23,Aaron Wan-Bissaka,DEF,19,6,5.0,3.0,60.0,36.0,10.8,1.7600000000000002,0.6666666666666666,0.0,0.033264,0.033264,6797.333333333333,1.0,11.5,1,43,19,1,0,0,0
2022-23,Aaron Wan-Bissaka,DEF,20,2,7.0,4.2,82.66666666666667,49.6,15.2,2.2600000000000002,1.0,0.0,0.036796,0.036796,14025.666666666666,1.2941176470588236,14.823529411764707,1,43,20,1,0,0,0
2022-23,Aaron Wan-Bissaka,DEF,20,2,5.666666666666667,4.6,82.66666666666667,67.6,18.2,2.66,1.0,0.0071400000000000005,0.039202,0.046342,20261.0,1.3333333333333333,19.0,0,43,20,1,0,0,0
2022-23,Aaron Wan-Bissaka,DEF,21,1,3.3333333333333335,5.0,82.66666666666667,85.6,21.6,3.6,1.0,0.0071400000000000005,0.059042,0.06618199999999999,27833.666666666668,1.368421052631579,22.736842105263158,0,43,21,1,0,0,0
2022-23,Aaron Wan-Bissaka,DEF,22,2,1.6666666666666667,4.0,90.0,85.6,18.4,3.28,1.0,0.0071400000000000005,0.037042000000000005,0.044182000000000006,26244.0,1.35,26.1,1,43,22,1,0,0,0
2022-23,Aaron Wan-Bissaka,DEF,23,1,1.0,1.4,58.666666666666664,71.2,11.6,2.46,0.6666666666666666,0.0071400000000000005,0.029165999999999997,0.036306,44231.333333333336,1.3181818181818181,27.636363636363637,0,43,23,1,0,0,0
2022-23,Aaron Wan-Bissaka,DEF,24,1,1.0,1.2,34.333333333333336,56.6,9.4,2.1399999999999997,0.3333333333333333,0.0,0.02676,0.02676,26429.333333333332,1.3043478260869565,27.17391304347826,1,43,24,1,0,0,0
2022-23,Aaron Wan-Bissaka,DEF,27,6,0.6666666666666666,0.8,12.666666666666666,24.8,5.6,0.8,0.0,0.0,0.042,0.042,-20477.0,1.24,25.84,1,43,27,1,0,0,0
2022-23,Aaron Wan-Bissaka,DEF,30,6,2.0,1.4,30.0,22.2,6.0,0.9,0.3333333333333333,0.006,0.038000000000000006,0.042,-1767.6666666666667,1.3214285714285714,26.285714285714285,1,43,30,1,0,0,0
2022-23,Aaron Wan-Bissaka,DEF,31,6,2.0,2.4,30.0,36.0,9.4,2.3,0.3333333333333333,0.156,0.038000000000000006,0.192,-606.6666666666666,1.4827586206896552,28.482758620689655,0,43,31,1,0,0,0
2022-23,Aaron Wan-Bissaka,DEF,33,1,4.0,3.6,60.0,54.0,14.6,3.44,0.6666666666666666,0.168,0.05,0.21600000000000003,2052.0,1.6333333333333333,30.533333333333335,0,43,33,1,0,0,0
2022-23,Aaron Wan-Bissaka,DEF,34,2,2.3333333333333335,2.6,53.333333333333336,50.0,11.2,2.9,0.6666666666666666,0.176,0.048,0.22400000000000003,27155.333333333332,1.5625,30.8125,0,43,34,1,0,0,0
2022-23,Aaron Wan-Bissaka,DEF,35,1,1.0,3.0,53.333333333333336,68.0,13.6,3.4400000000000004,0.6666666666666666,0.19,0.052000000000000005,0.242,43573.666666666664,1.5757575757575757,32.60606060606061,0,43,35,1,0,0,0
2022-23,Aaron Wan-Bissaka,DEF,36,6,1.0,2.0,58.666666666666664,67.2,10.8,2.8200000000000003,0.6666666666666666,0.04,0.028000000000000004,0.06799999999999999,37747.333333333336,1.5588235294117647,34.1764705882353,1,43,36,1,0,0,0
2022-23,Aaron Wan-Bissaka,DEF,37,6,3.0,2.0,88.66666666666667,67.2,10.4,2.3000000000000003,1.0,0.028000000000000004,0.022000000000000006,0.05,18924.666666666668,1.6857142857142857,35.77142857142857,0,43,37,1,0,0,0
2022-23,Aaron Wan-Bissaka,DEF,37,2,4.333333333333333,3.0,88.66666666666667,71.2,13.4,3.22,1.0,0.028000000000000004,0.030000000000000006,0.057999999999999996,10789.666666666666,1.8055555555555556,37.27777777777778,1,43,37,1,0,0,0
2022-23,Abdoulaye Doucouré,MID,2,1,2.0,2.0,90.0,90.0,13.0,3.9,0.0,0.0,0.0,0.0,0.0,2.0,90.0,0,55,2,0,0,0,1
2022-23,Abdoulaye Doucouré,MID,8,1,0.0,0.2,0.0,6.8,0.6,0.06,0.0,0.0,0.0,0.0,-2520.3333333333335,0.5,20.666666666666668,1,53,8,0,0,0,1
2022-23,Abdoulaye Doucouré,MID,9,1,0.3333333333333333,0.2,3.0,1.8,0.6,0.02,0.0,0.0,0.0,0.0,-1016.3333333333334,0.5714285714285714,19.0,0,53,9,0,0,0,1
2022-23,Abdoulaye Doucouré,MID,13,1,0.0,0.4,0.0,2.0,1.2,0.02,0.0,0.0,0.0,0.0,-61.0,0.45454545454545453,12.181818181818182,1,53,13,0,0,0,1
2022-23,Abdoulaye Doucouré,MID,15,1,0.3333333333333333,0.2,1.3333333333333333,0.8,0.6,0.0,0.0,0.0,0.0,0.0,-73.33333333333333,0.46153846153846156,10.615384615384615,1,53,15,0,0,0,1
2022-23,Abdoulaye Doucouré,MID,16,1,0.6666666666666666,0.4,11.0,6.6,1.2,0.16,0.0,0.0,0.0,0.0,-87.33333333333333,0.5,11.928571428571429,0,53,16,0,0,0,1
2022-23,Abdoulaye Doucouré,MID,17,1,0.6666666666666666,0.6,14.666666666666666,9.6,1.8,0.22000000000000003,0.0,0.0,0.000832,0.000832,-93.33333333333333,0.5333333333333333,12.133333333333333,1,53,17,0,0,0,1
2022-23,Abdoulaye Doucouré,MID,18,1,1.0,0.8,17.0,11.0,2.4,0.24,0.0,0.0,0.00173,0.00173,-47.333333333333336,0.5625,11.8125,0,53,18,0,0,0,1
2022-23,Abdoulaye Doucouré,MID,19,0,1.0,0.8,7.666666666666667,10.4,2.4,0.26,0.0,0.0,0.00173,0.00173,-39.666666666666664,0.5882352941176471,11.176470588235293,1,53,19,0,0,0,1
2022-23,Abdoulaye Doucouré,MID,22,3,0.0,0.4,10.666666666666666,8.0,0.8,0.06000000000000001,0.0,0.01236,0.0011040000000000002,0.013464,-61.333333333333336,0.5,11.1,1,53,22,0,0,0,1
2022-23,Abdoulaye Doucouré,MID,23,1,1.0,0.8,30.0,24.6,1.4,0.7,0.3333333333333333,0.060360000000000004,0.0022060000000000005,0.062566,-82.33333333333333,0.6190476190476191,14.857142857142858,0,53,23,0,0,0,1
2022-23,Abdoulaye Doucouré,MID,24,2,1.3333333333333333,0.8,60.0,42.4,1.8,0.78,0.6666666666666666,0.06035999999999999,0.006206,0.066566,20.333333333333332,0.6363636363636364,18.272727272727273,1,53,24,0,0,0,1
2022-23,Abdoulaye Doucouré,MID,25,1,2.0,1.2,90.0,54.0,4.8,1.8399999999999999,1.0,0.048,0.016,0.064,93.66666666666667,0.6956521739130435,21.391304347826086,1,53,25,0,0,0,1
2022-23,Abdoulaye Doucouré,MID,25,2,1.3333333333333333,1.4,90.0,72.0,6.6,2.8,1.0,0.078,0.05600000000000001,0.13399999999999998,690.0,0.7083333333333334,24.25,0,53,25,0,0,0,1
2022-23,Abdoulaye Doucouré,MID,26,9,1.6666666666666667,1.8,86.0,87.6,8.0,3.34,1.0,0.078,0.074,0.152,1168.6666666666667,0.76,26.4,0,53,26,0,0,0,1
